ibge7,mun,mun,nome_meso,algodao_arb,algodao_herb,banana,batata,cafe_arab,cana,feijao,laranja,limao,manga,milho,soja,sorgo,tangerina,tomate,trigo,leite,ovos,mel
3113701,Carlos Chagas,Carlos Chagas,Vale do Mucuri,0,0,20,0,0,5340,9,14,0,9,36,0,0,0,0,0,43212,44,0
3113800,Carmésia,Carmésia,Vale do Rio Doce,0,0,0,0,0,750,12,0,0,0,80,0,0,0,0,0,1875,13,2960
3113909,Carmo da Cachoeira,Carmo da Cachoeira,Sul/Sudoeste de Minas,0,0,0,1050,17400,0,210,110,0,0,11868,4400,0,150,0,0,5400,30,1500
3114006,Carmo da Mata,Carmo da Mata,Oeste de Minas,0,0,6,0,1000,4370,43,0,0,0,2781,436,0,610,0,0,8800,40,10050
3114105,Carmo de Minas,Carmo de Minas,Sul/Sudoeste de Minas,0,0,1440,0,5476,525,105,0,0,0,16500,2300,0,0,0,800,21626,22,1240
3114204,Carmo do Cajuru,Carmo do Cajuru,Oeste de Minas,0,0,16,0,0,1800,27,4,0,0,675,0,0,7,2430,0,25635,6865,2750
3114303,Carmo do Paranaíba,Carmo do Paranaíba,Triângulo Mineiro/Alto Paranaíba,0,0,33,0,16470,532,1695,0,0,0,17100,6019,720,0,420,0,93596,680,0
3114402,Carmo do Rio Claro,Carmo do Rio Claro,Sul/Sudoeste de Minas,0,0,16,0,16745,72320,4455,2448,0,0,45660,17520,3960,0,0,0,26820,382,2700
3114501,Carmópolis de Minas,Carmópolis de Minas,Oeste de Minas,0,0,64,0,225,3920,215,255,15,0,1860,0,0,40,22800,0,10872,107,6000
3114550,Carneirinho,Carneirinho,Triângulo Mineiro/Alto Paranaíba,0,0,90,0,0,965120,0,0,0,0,2940,0,0,0,0,0,25500,70,0
3114600,Carrancas,Carrancas,Campo das Vertentes,0,0,0,4200,47,912,1116,0,0,0,14820,6624,0,0,0,2640,15294,44,2000
3114709,Carvalhópolis,Carvalhópolis,Sul/Sudoeste de Minas,0,0,0,0,2485,180,131,0,0,0,1225,22,0,0,53,0,2962,36,9950
3114808,Carvalhos,Carvalhos,Sul/Sudoeste de Minas,0,0,0,0,0,130,12,0,0,0,192,0,0,0,0,0,19200,22,405
3114907,Casa Grande,Casa Grande,Metropolitana de Belo Horizonte,0,0,0,0,34,0,2257,0,0,0,11775,317,0,0,652,1458,13550,22,100
3115003,Cascalho Rico,Cascalho Rico,Triângulo Mineiro/Alto Paranaíba,0,0,0,0,760,380,0,0,0,0,1488,1225,720,0,2310,0,4136,12,140
3115102,Cássia,Cássia,Sul/Sudoeste de Minas,0,0,1020,0,7200,50816,176,0,0,0,16470,8378,1053,0,0,0,22486,35,1650
3115201,Conceição da Barra de Minas,Conceição da Barra de Minas,Campo das Vertentes,0,0,0,0,376,424,23,0,0,0,79,648,0,0,0,15,19304,42,0
3115300,Cataguases,Cataguases,Zona da Mata,0,0,67,0,4,3515,2,10,0,0,46,0,0,5,0,0,8701,204,0
3115359,Catas Altas,Catas Altas,Metropolitana de Belo Horizonte,0,0,49,0,0,2050,5,6,40,0,44,0,0,0,0,0,845,19,13620
3115409,Catas Altas da Noruega,Catas Altas da Noruega,Metropolitana de Belo Horizonte,0,0,150,0,7,2000,147,150,12,0,960,0,0,60,0,0,807,71,0
3115458,Catuji,Catuji,Vale do Mucuri,0,0,77,0,33,1540,11,6,0,0,76,0,0,0,0,0,2280,22,18000
3115474,Catuti,Catuti,Norte de Minas,0,28,0,0,0,20,51,0,0,0,48,0,255,0,0,0,1811,23,0
3115508,Caxambu,Caxambu,Sul/Sudoeste de Minas,0,0,0,0,54,37,2,0,0,0,445,0,0,0,0,0,1582,16,288
3115607,Cedro do Abaeté,Cedro do Abaeté,Central Mineira,0,0,0,0,0,923,5,0,0,0,650,0,0,0,0,0,2196,4,4000
3115706,Central de Minas,Central de Minas,Vale do Rio Doce,0,0,8,0,3,520,13,0,0,0,30,0,0,0,0,0,4525,5,1200
3115805,Centralina,Centralina,Triângulo Mineiro/Alto Paranaíba,0,0,3250,0,0,864000,1418,0,0,0,23250,39002,32850,0,0,0,6326,85,0
