uf,nome_uf,nome_meso,micro,nome_micro,mun,cod_mun_c,nome_mun,dist,distrito,nome_distrito
32,Espírito Santo,Central Espírito-santense,010,Guarapari,00300,3200300,alfredo chaves,05,320030005,alfredo chaves
35,São Paulo,Bauru,020,Bauru,26803,3526803,lençóis paulista,10,352680310,alfredo guedes
35,São Paulo,Presidente Prudente,036,Presidente Prudente,00808,3500808,alfredo marcondes,05,350080805,alfredo marcondes
31,Minas Gerais,Campo das Vertentes,059,Barbacena,01631,3101631,alfredo vasconcelos,05,310163105,alfredo vasconcelos
42,Santa Catarina,Grande Florianópolis,017,Tabuleiro,00705,4200705,alfredo wagner,05,420070505,alfredo wagner
29,Bahia,Sul Baiano,031,Ilhéus-Itabuna,12905,2912905,ibirataia,10,291290510,algodão
25,Paraíba,Agreste Paraibano,012,Curimataú Ocidental,00577,2500577,algodão de jandaíra,05,250057705,algodão de jandaíra
23,Ceará,Sertões Cearenses,018,Sertão de Cratéus,11264,2311264,quiterianópolis,10,231126410,algodões
26,Pernambuco,Sertão Pernambucano,004,Sertão do Moxotó,14105,2614105,sertânia,15,261410515,algodões
29,Bahia,Nordeste Baiano,014,Euclides da Cunha,25907,2925907,quijingue,10,292590710,algodões
25,Paraíba,Mata Paraibana,023,Litoral Sul,00601,2500601,alhandra,05,250060105,alhandra
26,Pernambuco,Mata Pernambucana,013,Mata Setentrional Pernambucana,00708,2600708,aliança,05,260070805,aliança
17,Tocantins,Ocidental do Tocantins,005,Gurupi,00350,1700350,aliança do tocantins,05,170035005,aliança do tocantins
29,Bahia,Sul Baiano,031,Ilhéus-Itabuna,00900,2900900,almadina,05,290090005,almadina
17,Tocantins,Oriental do Tocantins,008,Dianópolis,00400,1700400,almas,05,170040005,almas
31,Minas Gerais,Metropolitana de Belo Horizonte,027,Sete Lagoas,34608,3134608,jaboticatubas,10,313460810,almeida
15,Pará,Baixo Amazonas,003,Almeirim,00503,1500503,almeirim,05,150050305,almeirim
31,Minas Gerais,Jequitinhonha,014,Almenara,01706,3101706,almenara,05,310170605,almenara
24,Rio Grande do Norte,Oeste Potiguar,007,Umarizal,00604,2400604,almino afonso,05,240060405,almino afonso
41,Paraná,Metropolitana de Curitiba,037,Curitiba,00400,4100400,almirante tamandaré,05,410040005,almirante tamandaré
43,Rio Grande do Sul,Noroeste Rio-grandense,009,Carazinho,00471,4300471,almirante tamandaré do sul,05,430047105,almirante tamandaré do sul
15,Pará,Nordeste Paraense,010,Bragantina,01709,1501709,bragança,10,150170910,almoço
23,Ceará,Noroeste Cearense,001,Litoral de Camocim e Acaraú,06553,2306553,itarema,10,230655310,almofala
52,Goiás,Sul Goiano,015,Meia Ponte,00506,5200506,aloândia,05,520050605,aloândia
31,Minas Gerais,Vale do Rio Doce,037,Governador Valadares,01805,3101805,alpercata,05,310180505,alpercata
43,Rio Grande do Sul,Noroeste Rio-grandense,003,Frederico Westphalen,00505,4300505,alpestre,05,430050505,alpestre
31,Minas Gerais,Sul/Sudoeste de Minas,047,Passos,01904,3101904,alpinópolis,05,310190405,alpinópolis
51,Mato Grosso,Norte Mato-grossense,002,Alta Floresta,00250,5100250,alta floresta,05,510025005,alta floresta
11,Rondônia,Leste Rondoniense,006,Cacoal,00015,1100015,alta floresta d'oeste,05,110001505,alta floresta d'oeste
35,São Paulo,São José do Rio Preto,004,São José do Rio Preto,00907,3500907,altair,05,350090705,altair
15,Pará,Sudoeste Paraense,015,Altamira,00602,1500602,altamira,05,150060205,altamira
21,Maranhão,Oeste Maranhense,008,Pindaré,00402,2100402,altamira do maranhão,05,210040205,altamira do maranhão
41,Paraná,Centro Ocidental Paranaense,004,Goioerê,00459,4100459,altamira do paraná,05,410045905,altamira do paraná
23,Ceará,Sul Cearense,030,Caririaçu,00606,2300606,altaneira,05,230060605,altaneira
15,Pará,Baixo Amazonas,002,Santarém,06807,1506807,santarém,10,150680710,alter do chão
13,Amazonas,Sudoeste Amazonense,003,Alto Solimões,03700,1303700,santo antônio do içá,15,130370015,alterosa
31,Minas Gerais,Sul/Sudoeste de Minas,049,Alfenas,02001,3102001,alterosa,05,310200105,alterosa
26,Pernambuco,Agreste Pernambucano,012,Brejo Pernambucano,00807,2600807,altinho,05,260080705,altinho
35,São Paulo,Ribeirão Preto,015,Batatais,01004,3501004,altinópolis,05,350100405,altinópolis
14,Roraima,Norte de Roraima,001,Boa Vista,00050,1400050,alto alegre,05,140005005,alto alegre
