mun,nome_mun,nome_micro,nome_meso,sigla_uf,algodao,arroz,banana,cafe,cana,feijao,fumo,laranja,mandioca,milho,soja,tomate
2906204,Canarana,Irecê,Centro Norte Baiano,BA,0,0,100,0,0,180,0,0,216,2600,0,8100
2906303,Canavieiras,Ilhéus-Itabuna,Sul Baiano,BA,0,0,1215,0,0,0,0,0,1500,0,0,0
2906402,Candeal,Serrinha,Nordeste Baiano,BA,0,0,0,0,0,2,0,0,120,8,0,0
2906501,Candeias,Salvador,Metropolitana de Salvador,BA,0,0,133,0,0,0,0,0,300,28,0,0
2906600,Candiba,Guanambi,Centro Sul Baiano,BA,65,0,20,0,65,145,0,0,360,240,0,0
2906709,Cândido Sales,Vitória da Conquista,Centro Sul Baiano,BA,0,0,30,0,80,60,0,12,7500,50,0,0
2906808,Cansanção,Euclides da Cunha,Nordeste Baiano,BA,0,0,0,0,0,495,0,0,600,0,0,0
2906824,Canudos,Euclides da Cunha,Nordeste Baiano,BA,0,0,14000,0,0,158,0,0,1000,63,0,0
2906857,Capela do Alto Alegre,Serrinha,Nordeste Baiano,BA,0,0,0,0,0,2,0,0,90,8,0,0
2906873,Capim Grosso,Jacobina,Centro Norte Baiano,BA,0,0,4,0,0,52,0,0,180,30,0,0
2906899,Caraíbas,Brumado,Centro Sul Baiano,BA,1,0,300,0,30,91,0,0,200,30,0,0
2906907,Caravelas,Porto Seguro,Sul Baiano,BA,0,0,294,0,208674,51,0,65,2975,14,0,0
2907004,Cardeal da Silva,Entre Rios,Nordeste Baiano,BA,0,0,98,0,0,22,0,600,1010,2160,0,0
2907103,Carinhanha,Bom Jesus da Lapa,Vale São-Franciscano da Bahia,BA,3,0,9228,0,155,75,0,0,600,900,600,0
2907202,Casa Nova,Juazeiro,Vale São-Franciscano da Bahia,BA,0,0,1545,0,0,250,0,0,900,0,0,300
2907301,Castro Alves,Santo Antônio de Jesus,Metropolitana de Salvador,BA,0,0,244,0,0,40,32,800,6100,380,0,0
2907400,Catolândia,Barreiras,Extremo Oeste Baiano,BA,0,0,0,0,2700,71,0,0,0,315,0,0
2907509,Catu,Catu,Metropolitana de Salvador,BA,0,0,47,0,14,12,0,42,1987,112,0,0
2907558,Caturama,Boquira,Centro Sul Baiano,BA,0,0,24,0,5650,100,0,0,150,100,0,0
2907608,Central,Irecê,Centro Norte Baiano,BA,0,0,3,0,0,15,0,0,800,1800,0,0
2907707,Chorrochó,Paulo Afonso,Vale São-Franciscano da Bahia,BA,0,0,20,0,0,94,0,0,0,180,0,0
2907806,Cícero Dantas,Ribeira do Pombal,Nordeste Baiano,BA,0,0,30,0,0,700,75,23,240,800,0,0
2907905,Cipó,Ribeira do Pombal,Nordeste Baiano,BA,0,0,120,0,0,13,0,0,50,35,0,10
2908002,Coaraci,Ilhéus-Itabuna,Sul Baiano,BA,0,0,3200,0,600,20,0,0,250,0,0,0
2908101,Cocos,Santa Maria da Vitória,Extremo Oeste Baiano,BA,0,100,2,5400,950,1714,4074,0,700,95500,58281,0
2908200,Conceição da Feira,Feira de Santana,Centro Norte Baiano,BA,0,0,8,0,0,80,1,130,1850,55,0,0
2908309,Conceição do Almeida,Santo Antônio de Jesus,Metropolitana de Salvador,BA,0,0,80,0,0,77,23,1800,2500,15,0,0
2908408,Conceição do Coité,Serrinha,Nordeste Baiano,BA,0,0,0,0,0,342,0,113,897,156,0,0
2908507,Conceição do Jacuípe,Feira de Santana,Centro Norte Baiano,BA,0,0,0,0,0,10,0,0,1600,40,0,0
2908606,Conde,Entre Rios,Nordeste Baiano,BA,0,0,1330,0,0,7,0,4400,2500,135,0,0
2908705,Condeúba,Brumado,Centro Sul Baiano,BA,0,0,10,0,1200,90,0,45,600,90,0,0
2908804,Contendas do Sincorá,Seabra,Centro Sul Baiano,BA,0,0,350,255,100,29,0,0,900,71,0,88
2908903,Coração de Maria,Feira de Santana,Centro Norte Baiano,BA,0,0,0,0,0,100,0,0,1800,200,0,0
2909000,Cordeiros,Brumado,Centro Sul Baiano,BA,0,0,0,0,815,25,0,0,200,24,0,0
2909109,Coribe,Santa Maria da Vitória,Extremo Oeste Baiano,BA,0,8,5200,0,1800,140,0,0,450,48,0,0
2909208,Coronel João Sá,Jeremoabo,Nordeste Baiano,BA,0,0,0,0,0,4,0,0,0,150,0,21
2909307,Correntina,Santa Maria da Vitória,Extremo Oeste Baiano,BA,170400,115,30,0,1550,4442,6,0,4150,391400,646428,0
2909406,Cotegipe,Cotegipe,Extremo Oeste Baiano,BA,0,0,30,0,300,160,0,0,250,9420,800,0
2909505,Cravolândia,Jequié,Centro Sul Baiano,BA,0,0,110,5,0,5,0,0,45,0,0,46
2909604,Crisópolis,Alagoinhas,Nordeste Baiano,BA,0,0,19,0,0,639,0,1311,20700,4140,0,0
2909703,Cristópolis,Cotegipe,Extremo Oeste Baiano,BA,0,0,25,0,3650,1230,0,0,400,3000,0,0
2909802,Cruz das Almas,Santo Antônio de Jesus,Metropolitana de Salvador,BA,0,0,100,0,0,124,189,2450,5800,175,0,0
2909901,Curaçá,Juazeiro,Vale São-Franciscano da Bahia,BA,0,0,20000,0,0,200,0,0,3600,0,0,420
2910008,Dário Meira,Vitória da Conquista,Centro Sul Baiano,BA,0,0,1450,1,650,10,0,20,800,0,0,0
2910057,Dias d'Ávila,Salvador,Metropolitana de Salvador,BA,0,0,30,0,0,1,0,12,100,4,0,0
2910107,Dom Basílio,Livramento do Brumado,Centro Sul Baiano,BA,0,0,38,0,0,200,0,0,120,50,0,0
2910206,Dom Macedo Costa,Santo Antônio de Jesus,Metropolitana de Salvador,BA,0,0,180,0,100,22,0,320,925,50,0,0
2910305,Elísio Medrado,Feira de Santana,Centro Norte Baiano,BA,0,0,1350,0,10,40,0,380,1800,24,0,0
2910404,Encruzilhada,Itapetinga,Centro Sul Baiano,BA,0,0,1500,6600,2560,130,0,25,2000,240,0,0
2910503,Entre Rios,Entre Rios,Nordeste Baiano,BA,0,0,244,0,0,74,0,11250,8025,8100,0,0
2910602,Esplanada,Entre Rios,Nordeste Baiano,BA,0,0,222,0,0,136,0,40000,4500,3000,0,0
2910701,Euclides da Cunha,Euclides da Cunha,Nordeste Baiano,BA,0,0,0,0,0,800,0,0,300,0,0,0
2910727,Eunápolis,Porto Seguro,Sul Baiano,BA,0,0,2300,0,128000,50,0,18,12000,90,0,0
