mun,municipio,algodao,arroz,banana,cafe,cana,feijao,fumo,laranja,mandioca,milho,soja,tomate
4312625,Muliterno,0,0,0,0,0,166,384,0,100,6120,11760,180
4312658,Não-Me-Toque,0,0,0,0,720,27,0,150,300,25500,96600,40
4312674,Nicolau Vergueiro,0,0,0,0,0,14,0,135,345,270,38502,0
4312708,Nonoai,0,0,70,0,5000,930,3,600,3750,13500,68400,52
4312757,Nova Alvorada,0,5,0,0,400,60,280,375,600,6000,19305,30
4312807,Nova Araçá,0,0,0,0,300,2,0,120,50,11937,2240,350
4312906,Nova Bassano,0,0,0,0,400,16,0,585,180,34650,7400,17000
4312955,Nova Boa Vista,0,0,0,0,480,54,0,625,221,2520,16920,0
4313003,Nova Bréscia,0,0,27,0,480,53,4,176,154,1425,0,0
4313011,Nova Candelária,0,0,10,0,350,10,5,126,1800,4320,9540,32
4313037,Nova Esperança do Sul,0,1600,0,0,2250,5,104,310,1235,3570,10890,0
4313060,Nova Hartz,0,1,24,0,625,48,0,192,2772,675,28,80
4313086,Nova Pádua,0,0,0,0,0,6,0,192,80,1320,0,1500
4313102,Nova Palma,0,1050,180,0,350,840,2000,900,2400,4800,24320,200
4313201,Nova Petrópolis,0,0,0,0,270,264,0,680,924,9900,0,1000
4313300,Nova Prata,0,0,0,0,75,22,0,210,350,12750,7700,1450
4313334,Nova Ramada,0,0,0,0,160,78,0,16,960,5550,51360,0
4313359,Nova Roma do Sul,0,0,0,0,600,40,0,1512,500,7000,15,1400
4313375,Nova Santa Rita,0,28700,0,0,198,27,0,8,936,56,0,252
4313391,Novo Cabrais,0,11880,8,0,1250,58,2440,228,2720,4875,18434,43
4313409,Novo Hamburgo,0,0,48,0,18000,126,0,3760,9750,2880,161,144
4313425,Novo Machado,0,10,396,0,2800,64,990,640,880,40500,27417,72
4313441,Novo Tiradentes,0,0,0,0,200,117,494,600,625,7560,7920,0
4313466,Novo Xingu,0,0,0,0,600,60,0,1350,240,3600,13500,0
4313490,Novo Barreiro,0,0,0,0,210,204,12,120,5000,7200,16920,93
4313508,Osório,0,26000,1200,0,1200,28,0,126,1500,162,3600,117
4313607,Paim Filho,0,0,0,0,600,108,4,1050,900,7200,19440,75
4313656,Palmares do Sul,0,116325,0,0,20,10,0,0,400,1600,12250,0
4313706,Palmeira das Missões,0,0,27,0,3000,3700,0,560,9000,141000,318100,76
4313805,Palmitinho,0,0,48,0,500,77,884,134,6900,7425,1950,36
4313904,Panambi,0,0,0,0,1650,48,0,840,2500,15053,115841,60
